filename,description
cybercrazyness_200bpm.wav,Cybercrazyness bpm.
deeperlaser.wav,Deeperlaser.
deeplaser.wav,Deeplaser.
desert-eagle-gun-sounds2.wav,Desert eagle gun sounds2.
design-rhythjmic-bubble-machine-gun-spell-rapid-attack.wav,Design rhythjmic bubble machine gun spell rapid attack.
design-vintage-laser-gun-decay-tail-impact-lofi-echo.wav,Design vintage laser gun decay tail impact lofi echo.
dialogue-pained-yelp-loud-e.wav,Dialogue pained yelp loud e.
divan-child-jumping-on.wav,Divan child jumping on.
dog-whining-and-jumping-on-glass.wav,Dog whining and jumping on glass.
dragon-scream-pain-414.wav,Dragon scream pain.
dry-footsteps-loop.wav,Dry footsteps loop.
equiptact_leather-revolver-holster-equip_hvd_owsfx.wav,Equiptact leather revolver holster equip hvd owsfx.
equiptact_leather-revolver-holster-open-and-close_hvd_owsfx.wav,Equiptact leather revolver holster open and close hvd owsfx.
fantasy-laser-cannon-2.wav,Fantasy laser cannon 2.
fantasy-laser-cannon.wav,Fantasy laser cannon.
female-vocal-i-long-for-pain.wav,Female vocal i long for pain.
fireworks-new-years-eve-connewitzer-kreuz.wav,Fireworks new years eve connewitzer kreuz.
foley_natural_water_jump_mono.wav,Foley natural water jump mono.
footsteps-gravel.wav,Footsteps gravel.
footsteps-human-leaves-sidewalk-sneakers-ambience-wind-birds-walk-run.wav,Footsteps human leaves sidewalk sneakers ambience wind birds walk run.
footsteps-in-grass.wav,Footsteps in grass.
footsteps-in-hallway.wav,Footsteps in hallway.
footsteps-in-the-bathtub2.wav,Footsteps in the bathtub2.
footsteps-logellou1.wav,Footsteps logellou1.
footsteps-of-a-person.wav,Footsteps of a person.
footsteps-on-gravel.wav,Footsteps on gravel.
footsteps-on-wooden-floor.wav,Footsteps on wooden floor.
footsteps-stone-rock-concrete-cement.wav,Footsteps stone rock concrete cement.
footsteps-w-clothes-loop.wav,Footsteps w clothes loop.
footsteps-walking-hardwood01.wav,Footsteps walking hardwood.
footsteps.wav,Footsteps.
footsteps_two_people_forest_leaves.wav,Footsteps two people forest leaves.
footstepslogellou2.wav,Footstepslogellou2.
footstepslogellou3.wav,Footstepslogellou3.
fps-footsteps-loop.wav,Fps footsteps loop.
fps-sniper-shot.wav,Fps sniper shot.
fxed_exp_loop_200bpm.wav,Fxed exp loop bpm.
game-jump-sound.wav,Game jump sound.
gargling-steam-mono.wav,Gargling steam mono.
gopro-rifle-shooting-sound.wav,Gopro rifle shooting sound.
grappling-hookgun-extending-retracting.wav,Grappling hookgun extending retracting.
gun-getting-shot.wav,Gun getting shot.
gun-moving.wav,Gun moving.
gun-range.wav,Gun range.
gun-reload (2).wav,Gun reload (2).
gun-reload (3).wav,Gun reload (3).
gun-reload.wav,Gun reload.
gun-shot-rapid-fire.wav,Gun shot rapid fire.
gun-shot.wav,Gun shot.
gun-sweetener-layer-typewriter-on-phonebook-thump-single-oneshot.wav,Gun sweetener layer typewriter on phonebook thump single oneshot.
gun-sweetener-typewriter-on-phonebook-hit-fast-thump-machine.wav,Gun sweetener typewriter on phonebook hit fast thump machine.
gunhndl_revolver-removal-from-leather-holster_hvd_owsfx.wav,Gunhndl revolver removal from leather holster hvd owsfx.
gunhndl_revolver-spin_hvd_owsfx.wav,Gunhndl revolver spin hvd owsfx.
gunshot-with-silencer.wav,Gunshot with silencer.
gunshot.wav,Gunshot.
gunshotg_hatsan-bullpup-load-insert-01_kvv-audio_free.wav,Gunshotg hatsan bullpup load insert kvv audio free.
gunshots-machine-gun-with-silencer-in-a-shooting-range.wav,Gunshots machine gun with silencer in a shooting range.
guy_jumps.wav,Guy jumps.
handgun-clip-change.wav,Handgun clip change.
happy-jumping-steps.wav,Happy jumping steps.
hi-my-name-is-hannah.wav,Hi my name is hannah.
hissing-water-distribution-wide-close-perspective-24-bit-48-khz.wav,Hissing water distribution wide close perspective bit khz.
hop2.wav,Hop2.
human-jumping.wav,Human jumping.
ice-break-02.wav,Ice break.
industrial-steam-pipes-hiss-hum.wav,Industrial steam pipes hiss hum.
jump.wav,Jump.
jumping (2).wav,Jumping (2).
jumping-hop-sound.wav,Jumping hop sound.
jumping-in-a-tunnel.wav,Jumping in a tunnel.
jumping-into-bed-01r.wav,Jumping into bed r.
jumping-on-a-bed (2).wav,Jumping on a bed (2).
jumping-on-a-bed.wav,Jumping on a bed.
jumping-on-a-small-trampoline-squeaking-sounds.wav,Jumping on a small trampoline squeaking sounds.
jumping-on-a-trampoline.wav,Jumping on a trampoline.
jumping-on-grass-4.wav,Jumping on grass 4.
jumping-on-wooden-floor.wav,Jumping on wooden floor.
jumping-on-wooden-plate-in-hall.wav,Jumping on wooden plate in hall.
jumping-onto-a-hard-floor-with-shoes-and-some-walking-sounds.wav,Jumping onto a hard floor with shoes and some walking sounds.
jumping-over-object-while-hiking.wav,Jumping over object while hiking.
jumping-rope.wav,Jumping rope.
jumping-sfx.wav,Jumping sfx.
jumping-up-on-ledge.wav,Jumping up on ledge.
jumping-wearing-pants-barefoot-wood-floor-no-landing-sound.wav,Jumping wearing pants barefoot wood floor no landing sound.
jumping.wav,Jumping.
jumping_to_trunk.wav,Jumping to trunk.
jumps-carpet.wav,Jumps carpet.
kalashnikov-1-indoor.wav,Kalashnikov 1 indoor.
kalashnikov-2-indoor.wav,Kalashnikov 2 indoor.
laser-gun-02.wav,Laser gun.
laser-gun-2.wav,Laser gun 2.
laser-machine-gun-ak51.wav,Laser machine gun ak.
loading-air-soft.wav,Loading air soft.
loading-clicks.wav,Loading clicks.
loading-please-wait-robot-voice.wav,Loading please wait robot voice.
lofifootstep_carpet_03.wav,Lofifootstep carpet.
lofifootstep_gravel_walking-07.wav,Lofifootstep gravel walking.
machine-gun-sound.wav,Machine gun sound.
machinery-1.wav,Machinery 1.
magazine-for-gun-gets-shot.wav,Magazine for gun gets shot.
male-pain-grunt.wav,Male pain grunt.
male_jump_02.wav,Male jump.
man-jumping-noises.wav,Man jumping noises.
man-screams-in-pain-in-a-big-hall.wav,Man screams in pain in a big hall.
man-screams-in-pain.wav,Man screams in pain.
mauser-98k-bolt-action-mechanism-sound.wav,Mauser k bolt action mechanism sound.
mauser-98k-shooting.wav,Mauser k shooting.
mechanical-stapler-gun-click-hit-office-clack-meck-lock.wav,Mechanical stapler gun click hit office clack meck lock.
mechanical-stapler-gun-meck-click-latch-snap-metal.wav,Mechanical stapler gun meck click latch snap metal.
metal-footstep-sample1.wav,Metal footstep sample1.
metal-footstep.wav,Metal footstep.
metal-grate-running.wav,Metal grate running.
moan-pain-male-stabbed.wav,Moan pain male stabbed.
monster-inpain.wav,Monster inpain.
monster_sound_medium_pain.wav,Monster sound medium pain.
mutant-pain-scream.wav,Mutant pain scream.
nerf-barrel-rolling-realoading.wav,Nerf barrel rolling realoading.
ny-steam-radiator.wav,Ny steam radiator.
nyc-steam-radiator-hiss.wav,Nyc steam radiator hiss.
occluded-gun-fire-3.wav,Occluded gun fire 3.
ound-design-elements-robot-mechanism-008.wav,Ound design elements robot mechanism.
pain-male2.wav,Pain male2.
pain-man-scream.wav,Pain man scream.
pain-man-wheezing-4.wav,Pain man wheezing 4.
pain-noises.wav,Pain noises.
pain-scream-girl.wav,Pain scream girl.
pain-sound-in-mask.wav,Pain sound in mask.
pain.wav,Pain.
pain1.wav,Pain1.
pain2.wav,Pain2.
pain3.wav,Pain3.
pain_schwester.wav,Pain schwester.
painful-grunts-boy.wav,Painful grunts boy.
person-jumping-on-bed.wav,Person jumping on bed.
person-walking-on-grass-with-birds-chirping-in-the-background.wav,Person walking on grass with birds chirping in the background.
pistol-cock-1.wav,Pistol cock 1.
pistola-vacia-empty-gun.wav,Pistola vacia empty gun.
platform-jump.wav,Platform jump.
pocket-pistol-gunshot-1-outside-of-room.wav,Pocket pistol gunshot 1 outside of room.
portal-gun-shoot-out-1.wav,Portal gun shoot out 1.
pouch-walking.wav,Pouch walking.
project-sound-5.wav,Project sound 5.
punches-and-pain-reaction-sfx.wav,Punches and pain reaction sfx.
radiator-clicking-steam-water.wav,Radiator clicking steam water.
radiator-steam.wav,Radiator steam.
revolver-cylinder-turn-remington-1875.wav,Revolver cylinder turn remington.
rifle_equip1.wav,Rifle equip1.
robot-screaming.wav,Robot screaming.
robotic-mufled-talking-noises.wav,Robotic mufled talking noises.
rocket-launch-boost-and-burning-version-a.wav,Rocket launch boost and burning version a.
run-hes-got-a-gun-australian-twins-speak-in-unison-beat.wav,Run hes got a gun australian twins speak in unison beat.
s_pain_slith_14.wav,S pain slith.
sci-fi-gunshot.wav,Sci fi gunshot.
sci-fi-robot-environment-mechanism-sounds-1.wav,Sci fi robot environment mechanism sounds 1.
sci-fi-robot-environment-mechanism-sounds-2.wav,Sci fi robot environment mechanism sounds 2.
scream__pain-1.wav,Scream pain 1.
scream__pain-3.wav,Scream pain 3.
scream__pain-5.wav,Scream pain 5.
scream__pain-6.wav,Scream pain 6.
screamimg-pain.wav,Screamimg pain.
screaming-pain.wav,Screaming pain.
short-laser.wav,Short laser.
shotgun-pumping-winchester-1897-trench-gun.wav,Shotgun pumping winchester trench gun.
shuffling-shoes.wav,Shuffling shoes.
slime-jump-1.wav,Slime jump 1.
slime-jump-2.wav,Slime jump 2.
slimy-steps.wav,Slimy steps.
slushy-footfall.wav,Slushy footfall.
small-steam-locomotive-hiss-and-honk-sound-effect.wav,Small steam locomotive hiss and honk sound effect.
small_bullet_medium_soft_hit_14.wav,Small bullet medium soft hit.
smoke-and-steam-ambience-1.wav,Smoke and steam ambience 1.
sniper-shot-alt.wav,Sniper shot alt.
snow-cracking-steps.wav,Snow cracking steps.
soldier-reloading.wav,Soldier reloading.
sonic-disruptor2.wav,Sonic disruptor2.
sound-design-elements-robot-mechanism-006.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-007.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-009.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-010.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-011.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-012.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-013.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-014.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-015.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-016.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-017.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-018.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-019.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-020.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-021.wav,Sound design elements robot mechanism.
sound-design-elements-robot-mechanism-022.wav,Sound design elements robot mechanism.
sound_of_any_motion__woodfric-xy-zoom-h4e_creaks-of-planks_soam_sound-of-solid-and-gaseous-pt-1_construction-site.wav,Sound of any motion woodfric xy zoom h4e creaks of planks soam sound of solid and gaseous pt 1 construction site.
splash-jumping-b.wav,Splash jumping b.
splashes-jumping-in-pool-water-mineral-springs-rd-hamilton-3pm.wav,Splashes jumping in pool water mineral springs rd hamilton 3pm.
stairs-jumping-panoramic.wav,Stairs jumping panoramic.
stairs-jumping.wav,Stairs jumping.
steam (2).wav,Steam (2).
steam (3).wav,Steam (3).
steam (4).wav,Steam (4).
steam (5).wav,Steam (5).
steam-08.wav,Steam.
steam-1.wav,Steam 1.
steam-_machappl_drip-coffee-maker_full-cycle_zoom-f3_t-bone-sc-140_mono.wav,Steam machappl drip coffee maker full cycle zoom f3 t bone sc mono.
steam-air_hiss_strongest.wav,Steam air hiss strongest.
steam-air_hiss_weak.wav,Steam air hiss weak.
steam-boiling-water.wav,Steam boiling water.
steam-coffee-machine-hiss.wav,Steam coffee machine hiss.
steam-coffee-machine.wav,Steam coffee machine.
steam-coffeemaker-harsh-hiss.wav,Steam coffeemaker harsh hiss.
steam-coffeemaker-steam-hiss.wav,Steam coffeemaker steam hiss.
steam-cold-waterdrops-in-a-hot-pot.wav,Steam cold waterdrops in a hot pot.
steam-drone-010.wav,Steam drone.
steam-gas-grenade.wav,Steam gas grenade.
steam-gas-leak.wav,Steam gas leak.
steam-gas-stove-leak-air-hiss.wav,Steam gas stove leak air hiss.
steam-hiss (2).wav,Steam hiss (2).
steam-hiss (3).wav,Steam hiss (3).
steam-hiss.wav,Steam hiss.
steam-hissing.wav,Steam hissing.
steam-hissspray-burst.wav,Steam hissspray burst.
steam-home_kitchen_kettle_steam_run.wav,Steam home kitchen kettle steam run.
steam-humidifier (2).wav,Steam humidifier (2).
steam-humidifier.wav,Steam humidifier.
steam-in-phases-delicate-blowing-and-hiss.wav,Steam in phases delicate blowing and hiss.
steam-iron.wav,Steam iron.
steam-kettle-boiling-and-whistling.wav,Steam kettle boiling and whistling.
steam-kew-gardens-tropical-ambience.wav,Steam kew gardens tropical ambience.
steam-leaking-stereo.wav,Steam leaking stereo.
steam-leaking.wav,Steam leaking.
steam-of-horror-experiment-31.wav,Steam of horror experiment.
steam-or-spaceship-engine-room-1.wav,Steam or spaceship engine room 1.
steam-percolator.wav,Steam percolator.
steam-pink-noise-60-mins.wav,Steam pink noise mins.
steam-pressure-hiss.wav,Steam pressure hiss.
steam-pressure_cooker.wav,Steam pressure cooker.
steam-radiator-squeal.wav,Steam radiator squeal.
steam-sauna-water-on-hot-rocks-sizzle-long-view-farm.wav,Steam sauna water on hot rocks sizzle long view farm.
steam-sauna_1.wav,Steam sauna 1.
steam-sewer-ambient.wav,Steam sewer ambient.
steam-spray.wav,Steam spray.
steam-static-buzz-jet-take-off.wav,Steam static buzz jet take off.
steam-steam-iron.wav,Steam steam iron.
steam-steam.wav,Steam steam.
steam-the-cloud-factory.wav,Steam the cloud factory.
steam-train-leaving-moor-st-station.wav,Steam train leaving moor st station.
steam-train.wav,Steam train.
steam-tube-deflating.wav,Steam tube deflating.
steam-valve-hissing-near-couch.wav,Steam valve hissing near couch.
steam-water-on-hot-plate.wav,Steam water on hot plate.
steam-watrstm_pressure-cooker-sputtering-electricity-like-pops_funky-audio_fass.wav,Steam watrstm pressure cooker sputtering electricity like pops funky audio fass.
steam-wet-towel-on-electric-hot-plate_mono.wav,Steam wet towel on electric hot plate mono.
steam.wav,Steam.
steamhiss.wav,Steamhiss.
steps-in-mud.wav,Steps in mud.
stream-cleaner.wav,Stream cleaner.
sucking_gun_barrel.wav,Sucking gun barrel.
tf_movie_optimus_inspired_laser_sound_effect_01_2022.wav,Tf movie optimus inspired laser sound effect.
there-will-be-pain.wav,There will be pain.
things-a-machine-might-say-2.wav,Things a machine might say 2.
three-people-walking-on-concrete-group-footsteps.wav,Three people walking on concrete group footsteps.
thumps-on-bed-and-blanket-increasing-gradually.wav,Thumps on bed and blanket increasing gradually.
toolpneu-samsung-galaxy-smartphone_nail-gun-burst-03_nicholas-judy_tdc.wav,Toolpneu samsung galaxy smartphone nail gun burst nicholas judy.
toonmisc-blue-snowball-microphone-cu_gun-cocking-firing-comical_nicholas-judy_tdc.wav,Toonmisc blue snowball microphone gun cocking firing comical nicholas judy.
toymisc-samsung-galaxy-smartphone-cu_gun-cock-load_nicholas-judy_tdc.wav,Toymisc samsung galaxy smartphone gun cock load nicholas judy.
umping-onto-wooden-floor.wav,Umping onto wooden floor.
voices-pain-hurt-asian-japanese-girly.wav,Voices pain hurt asian japanese girly.
volcano-lava-steam-burst.wav,Volcano lava steam burst.
walk_concrete.wav,Walk concrete.
walk_up_marble_steps.wav,Walk up marble steps.
walk_with_stilettos.wav,Walk with stilettos.
walking-barefoot-on-artificial-grass.wav,Walking barefoot on artificial grass.
walking-exterior.wav,Walking exterior.
walking-in-puddles.wav,Walking in puddles.
walking-in-the-snow.wav,Walking in the snow.
walking-on-a-trail.wav,Walking on a trail.
walking-on-asphalt.wav,Walking on asphalt.
walking-on-coarse-sand.wav,Walking on coarse sand.
walking-on-the-snow-sound-recording-footsteps.wav,Walking on the snow sound recording footsteps.
walking-steps.wav,Walking steps.
walking-through-leaves-and-grass.wav,Walking through leaves and grass.
walking-to-dead-end-hallway-indoor-okm1-2025-03-16.wav,Walking to dead end hallway indoor okm1.
walking-to-the-cathedral.wav,Walking to the cathedral.
walking_crowd_park_dirt_steps.wav,Walking crowd park dirt steps.
walking_outside_01.wav,Walking outside.
wallking-and-jumping-on-wood-floor.wav,Wallking and jumping on wood floor.
walther-ppq-sc.wav,Walther ppq sc.
weapon-cocking.wav,Weapon cocking.
weirdroboticspeech.wav,Weirdroboticspeech.
woman-crying-in-pain.wav,Woman crying in pain.
woman-in-pain-1.wav,Woman in pain 1.
woman-panting-painfully.wav,Woman panting painfully.
woman_yvonne_screams_painfully.wav,Woman yvonne screams painfully.
worst-kind-of-pain.wav,Worst kind of pain.
xdrone_01.wav,Xdrone.
zombie-pain-4.wav,Zombie pain 4.
zombie_pain1.wav,Zombie pain1.
